"USER","GENDER","EDUC","WORK","SATISF"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"Some"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"Some"
"mail","Female","PROF",1,"Some"
"mail","Female","COLL",2,"Yes"
"mail","Female","COLL",2,"Yes"
"mail","Female","COLL",2,"Yes"
"mail","Female","COLL",2,"Yes"
"mail","Male","COLL",2,"Yes"
"mail","Male","COLL",2,"Yes"
"mail","Female","COLL",2,"Yes"
"mail","Male","COLL",2,"Yes"
"mail","Male","COLL",2,"Some"
"mail","Male","COLL",2,"Yes"
"mail","Female","GRAD",2,"No"
"mail","Female","GRAD",2,"Yes"
"mail","Female","GRAD",2,"Yes"
"mail","Female","GRAD",2,"Yes"
"mail","Female","GRAD",2,"Yes"
"mail","Male","GRAD",2,"Some"
"mail","Male","GRAD",2,"Some"
"mail","Male","GRAD",2,"Yes"
"mail","Female","GRAD",2,"Some"
"mail","Female","GRAD",2,"Yes"
"mail","Female","HS",2,"Yes"
"mail","Female","HS",2,"Yes"
"mail","Male","HS",2,"Some"
"mail","Male","PROF",2,"No"
"mail","Female","PROF",2,"Yes"
"mail","Male","PROF",2,"Some"
"mail","Male","PROF",2,"Yes"
"mail","Female","PROF",2,"Yes"
"mail","Male","PROF",2,"Yes"
"mail","Female","PROF",2,"Yes"
"mail","Female","PROF",2,"Yes"
"mail","Female","COLL",3,"Yes"
"mail","Female","COLL",3,"Yes"
"mail","Female","COLL",3,"No"
"mail","Female","COLL",3,"Some"
"mail","Female","COLL",3,"Yes"
"mail","Female","COLL",3,"Yes"
"mail","Male","COLL",3,"Yes"
"mail","Female","COLL",3,"Some"
"mail","Male","COLL",3,"Yes"
"mail","Male","COLL",3,"Yes"
"mail","Female","GRAD",3,"Yes"
"mail","Female","GRAD",3,"Yes"
"mail","Female","GRAD",3,"Yes"
"mail","Female","GRAD",3,"Yes"
"mail","Female","GRAD",3,"Yes"
"mail","Male","GRAD",3,"Yes"
"mail","Female","GRAD",3,"Some"
"mail","Female","GRAD",3,"Yes"
"mail","Male","GRAD",3,"Yes"
"mail","Female","HS",3,"Yes"
"mail","Female","HS",3,"Some"
"mail","Female","HS",3,"Some"
"mail","Female","HS",3,"Yes"
"mail","Female","HS",3,"Yes"
"mail","Female","HS",3,"Yes"
"mail","Male","PROF",3,"Yes"
"mail","Male","PROF",3,"Yes"
"mail","Female","PROF",3,"Yes"
"mail","Female","PROF",3,"No"
"mail","Female","PROF",3,"Yes"
"mail","Female","PROF",3,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Male","COLL",4,"Yes"
"mail","Female","COLL",4,"No"
"mail","Female","COLL",4,"Some"
"mail","Female","COLL",4,"Some"
"mail","Male","COLL",4,"Some"
"mail","Male","COLL",4,"Yes"
"mail","Female","COLL",4,"No"
"mail","Male","COLL",4,"Some"
"mail","Male","COLL",4,"Some"
"mail","Female","COLL",4,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Male","COLL",4,"Yes"
"mail","Male","COLL",4,"Yes"
"mail","Female","COLL",4,"Yes"
"mail","Female","COLL",4,"Some"
"mail","Female","COLL",4,"Some"
"mail","Male","COLL",4,"Yes"
"mail","Female","COLL",4,"Some"
"mail","Female","COLL",4,"No"
"mail","Female","COLL",4,"Yes"
"mail","Male","COLL",4,"Yes"
"mail","Female","GRAD",4,"Yes"
"mail","Male","GRAD",4,"Yes"
"mail","Male","GRAD",4,"Yes"
"mail","Female","GRAD",4,"Yes"
"mail","Female","GRAD",4,"Yes"
"mail","Female","GRAD",4,"Some"
"mail","Male","GRAD",4,"Some"
"mail","Male","GRAD",4,"No"
"mail","Female","GRAD",4,"Yes"
"mail","Female","GRAD",4,"No"
"mail","Female","GRAD",4,"Yes"
"mail","Female","GRAD",4,"No"
"mail","Male","HS",4,"Yes"
"mail","Female","HS",4,"Yes"
"mail","Male","HS",4,"No"
"mail","Female","HS",4,"Yes"
"mail","Male","HS",4,"Yes"
"mail","Male","HS",4,"Some"
"mail","Male","HS",4,"Yes"
"mail","Male","HS",4,"Some"
"mail","Female","HS",4,"Yes"
"mail","Female","HS",4,"No"
"mail","Male","PROF",4,"Yes"
"mail","Female","PROF",4,"Yes"
"mail","Female","PROF",4,"Yes"
"mail","Female","PROF",4,"No"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"Yes"
"net","Male","COLL",1,"Some"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"No"
"net","Female","COLL",1,"Yes"
"net","Male","COLL",1,"Some"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"Yes"
"net","Female","COLL",1,"Yes"
"net","Female","GRAD",1,"Yes"
"net","Female","GRAD",1,"Yes"
"net","Female","GRAD",1,"No"
"net","Female","GRAD",1,"Some"
"net","Male","GRAD",1,"No"
"net","Male","GRAD",1,"Yes"
"net","Female","GRAD",1,"Yes"
"net","Male","HS",1,"Some"
"net","Female","HS",1,"Yes"
"net","Female","HS",1,"Yes"
"net","Female","PROF",1,"Yes"
"net","Female","PROF",1,"Yes"
"net","Female","PROF",1,"Yes"
"net","Female","PROF",1,"Some"
"net","Female","PROF",1,"Yes"
"net","Male","PROF",1,"Yes"
"net","Female","COLL",2,"Some"
"net","Female","COLL",2,"Some"
"net","Female","COLL",2,"Some"
"net","Female","COLL",2,"No"
"net","Female","GRAD",2,"Yes"
"net","Male","HS",2,"Yes"
"net","Female","HS",2,"Yes"
"net","Female","PROF",2,"Yes"
"net","Female","COLL",3,"Yes"
"net","Female","COLL",3,"Yes"
"net","Female","GRAD",3,"Some"
"net","Female","COLL",4,"Yes"
"net","Female","HS",4,"Yes"
"net","Female","HS",4,"Yes"
