"ID","Player","TEAM","POS","G","AB","R","H","AVG"
101,"A Hernandez*","NYM","SS",123,366,39,92,0.251
102,"E Dukes*","WSH","OF",107,364,38,91,0.25
103,"R Church*","ATL","OF",111,359,46,98,0.273
104,"C McGehee*","MIL","3B",116,355,58,107,0.301
105,"G Atkins*","COL","3B",126,354,37,80,0.226
106,"D Young*","PIT","2B",124,354,40,94,0.266
107,"M Ramirez*","LAD","OF",104,352,62,102,0.29
108,"R Spilborghs*","COL","OF",133,352,55,85,0.241
109,"J Bruce*","CIN","OF",101,345,47,77,0.223
110,"A Pagan*","NYM","OF",88,343,54,105,0.306
111,"F Tatis*","NYM","1B",125,340,42,96,0.282
112,"S Smith*","COL","OF",133,335,61,98,0.293
113,"G Soto*","CHC","C",102,331,27,72,0.218
114,"I Rodriguez*","HOU","C",93,327,41,82,0.251
115,"T Ishikawa*","SF","1B",120,326,49,85,0.261
116,"W Harris*","WSH","OF",137,323,47,76,0.235
117,"C Ruiz*","PHI","C",107,322,32,82,0.255
118,"G Jones*","PIT","OF",82,314,45,92,0.293
119,"L Nix*","CIN","OF",116,309,42,74,0.239
120,"C Beltran*","NYM","OF",81,308,50,100,0.325
121,"J Hairston*","CIN","3B",86,307,47,78,0.254
122,"A Ramirez*","CHC","3B",82,306,46,97,0.317
123,"J Keppinger*","HOU","3B",107,305,35,78,0.256
124,"R Roberts*","ARI","2B",110,305,41,85,0.279
125,"K Johnson*","ATL","2B",106,303,47,68,0.224
126,"C Kotchman*","ATL","1B",87,298,28,84,0.282
127,"F Lewis*","SF","OF",122,295,49,76,0.258
128,"W Venable*","SD","OF",95,293,38,75,0.256
129,"A Gonzalez*","WSH","2B",105,291,31,77,0.265
130,"C Iannetta*","COL","C",93,289,41,66,0.228
131,"R Hernandez*","CIN","C",81,287,25,74,0.258
132,"N Schierholtz*","SF","OF",116,285,33,76,0.267
133,"E Velez*","SF","OF",84,285,40,76,0.267
134,"J Gomes*","CIN","OF",98,281,39,75,0.267
135,"O Santos*","NYM","C",96,281,28,73,0.26
136,"R Doumit*","PIT","C",75,280,31,70,0.25
137,"C Gonzalez*","COL","OF",89,278,53,79,0.284
138,"J Bard*","WSH","C",90,274,20,63,0.23
139,"J Gerut*","MIL","OF",122,274,40,63,0.23
140,"A Cora*","NYM","SS",82,271,31,68,0.251
141,"G Sheffield*","NYM","OF",100,268,44,74,0.276
142,"J Thurston*","STL","3B",124,267,27,60,0.225
143,"J Wilson*","PIT","SS",75,266,26,71,0.267
144,"R Belliard*","LAD","3B",110,264,39,73,0.277
145,"A Ojeda*","ARI","2B",103,264,38,65,0.246
146,"C Duncan*","STL","OF",87,260,25,59,0.227
147,"C Tracy*","ARI","1B",98,257,29,61,0.237
148,"N Hundley*","SD","C",78,256,23,61,0.238
149,"P Janish*","CIN","SS",90,256,36,54,0.211
150,"C Dickerson*","CIN","OF",97,255,31,70,0.275
151,"K Hill*","CHC","C",83,253,26,60,0.237
152,"R Hanigan*","CIN","C",90,251,22,66,0.263
153,"L Milledge*","PIT","OF",65,244,21,68,0.279
154,"A Gonzalez*","CIN","SS",68,243,16,51,0.21
155,"E Byrnes*","ARI","OF",84,239,26,54,0.226
156,"R Paulino*","FLA","C",80,239,24,65,0.272
157,"M DeRosa*","STL","3B",68,237,31,54,0.228
158,"M Holliday*","STL","OF",63,235,42,83,0.353
159,"M Hoffpauir*","CHC","OF",105,234,28,56,0.239
160,"R Gload*","FLA","1B",125,230,33,60,0.261
161,"A Rosales*","CIN","3B",87,230,23,49,0.213
162,"J Baker*","CHC","2B",81,226,27,65,0.288
163,"B Giles","SD","OF",61,225,18,43,0.191
164,"W Nieves*","WSH","C",72,224,20,58,0.259
165,"J Fox*","CHC","3B",82,216,23,56,0.259
166,"B Hall*","MIL","3B",76,214,22,43,0.201
167,"W Helms*","FLA","3B",113,214,18,58,0.271
168,"Y Torrealba*","COL","C",64,213,27,62,0.291
169,"L Rodriguez*","SD","SS",93,208,18,42,0.202
170,"J Jaramillo*","PIT","C",63,206,20,52,0.252
171,"C Coste*","HOU","C",88,205,15,46,0.224
172,"H Blanco*","SD","C",67,204,21,48,0.235
173,"R Vazquez*","PIT","SS",101,204,17,47,0.23
174,"O Infante*","ATL","2B",70,203,24,62,0.305
175,"E Burriss*","SF","2B",61,202,18,48,0.238
176,"S Hairston*","SD","OF",56,197,26,59,0.299
177,"M Loretta","LAD","3B",107,181,19,42,0.232
178,"D Stubbs*","CIN","OF",42,180,27,48,0.267
179,"C Maybin*","FLA","OF",54,176,30,44,0.25
180,"A Kearns*","WSH","OF",80,174,20,34,0.195
181,"K Greene*","STL","SS",77,170,21,34,0.2
182,"B Schneider*","NYM","C",59,170,11,37,0.218
183,"J Schafer*","ATL","OF",50,167,18,34,0.204
184,"R Johnson*","CHC","OF",65,165,23,42,0.255
185,"S Pearce*","PIT","1B",60,165,19,34,0.206
186,"C Snyder*","ARI","C",61,165,20,33,0.2
187,"J Reed*","NYM","OF",126,161,9,39,0.242
188,"A Miles*","CHC","2B",74,157,17,29,0.185
189,"H Quintero*","HOU","C",60,157,11,37,0.236
190,"R Cedeno*","PIT","SS",46,155,17,40,0.258
191,"G Dobbs*","PHI","3B",97,154,15,38,0.247
192,"E Gonzalez*","SD","2B",82,153,16,33,0.216
193,"A Torres*","SF","OF",75,152,30,41,0.27
194,"K Blanks*","SD","OF",54,148,24,37,0.25
195,"J Lugo*","STL","2B",51,148,24,41,0.277
196,"J Reyes*","NYM","SS",36,147,18,41,0.279
197,"R Weeks*","MIL","2B",37,147,28,40,0.272
198,"A Romero*","ARI","OF",66,145,14,36,0.248
199,"F Catalanotto*","MIL","OF",77,144,18,40,0.278
200,"B Carroll*","FLA","OF",92,141,18,33,0.234
201,"E Encarnacion*","CIN","3B",43,139,10,29,0.209
202,"S Rolen*","CIN","3B",40,137,24,37,0.27
203,"C Sullivan*","NYM","OF",64,136,17,34,0.25
204,"J Michaels*","HOU","OF",102,135,17,32,0.237
205,"D Erstad*","HOU","OF",107,134,13,26,0.194
206,"R Diaz*","PIT","C",41,129,9,36,0.279
207,"M Gamel*","MIL","3B",61,128,11,31,0.242
208,"D Ross*","ATL","C",54,128,18,35,0.273
209,"E Whiteside*","SF","C",49,127,15,29,0.228
210,"A Escobar*","MIL","SS",38,125,20,38,0.304
211,"B Scales*","CHC","OF",51,124,15,30,0.242
212,"A Blanco*","CHC","2B",53,123,15,31,0.252
213,"R Aurilia","SF","1B",60,122,10,26,0.213
214,"P Bako*","PHI","C",44,116,12,26,0.224
215,"R Garko*","SF","1B",40,115,10,27,0.235
216,"E Alfonzo*","SD","C",37,114,6,20,0.175
217,"M Rivera*","MIL","C",41,114,10,26,0.228
218,"J Castro*","LAD","SS",57,112,18,31,0.277
219,"W Balentien*","CIN","OF",40,110,12,29,0.264
220,"T Greene*","STL","SS",48,108,9,24,0.222
221,"O Salazar*","SD","OF",55,108,12,29,0.269
222,"J Whitesell*","ARI","1B",46,108,7,21,0.194
223,"E Hinske*","PIT","OF",54,106,18,27,0.255
224,"E Bruntlett*","PHI","2B",72,105,15,18,0.171
225,"D McDonald*","CIN","OF",47,105,12,28,0.267
226,"B Allen*","ARI","1B",32,104,13,21,0.202
227,"J LaRue*","STL","C",51,104,10,25,0.24
228,"B Barden*","STL","3B",52,103,13,24,0.233
229,"M Stairs*","PHI","OF",99,103,15,20,0.194
